,mean_temperature,particle_size,ignition,density,wind_speed,CTANN,heater_lead_angle
26355,523.5,0.40602040816326535,False,200,0.5,0,0
20967,469.5,0.300469387755102,False,200,0.5,0,0
16270,422.5,0.27408163265306124,False,200,0.5,0,0
19279,452.5,0.1949183673469388,False,200,0.5,0,0
1958,279.5,0.3796326530612245,False,200,0.5,0,0
22728,487.0,0.2037142857142857,False,200,0.5,0,0
4673,306.5,0.2476938775510204,False,200,0.5,0,0
41,260.0,0.08936734693877552,False,200,0.5,0,0
28534,545.0,0.15093877551020407,False,200,0.5,0,0
12943,389.0,0.07177551020408163,False,200,0.5,0,0
20813,468.0,0.3356530612244898,False,200,0.5,0,0
3051,290.5,0.44120408163265307,False,200,0.5,0,0
29130,551.0,0.18612244897959185,False,200,0.5,0,0
4992,309.5,0.08057142857142857,False,200,0.5,0,0
3063,290.5,0.3356530612244898,False,200,0.5,0,0
26400,524.0,0.45,False,200,0.5,0,0
20104,461.0,0.41481632653061223,False,200,0.5,0,0
18666,446.5,0.30926530612244896,False,200,0.5,0,0
23324,493.0,0.23889795918367346,False,200,0.5,0,0
7601,336.0,0.44120408163265307,False,200,0.5,0,0
2782,287.5,0.16853061224489796,False,200,0.5,0,0
20789,467.5,0.1069591836734694,False,200,0.5,0,0
1254,272.5,0.41481632653061223,False,200,0.5,0,0
143,261.0,0.07177551020408163,False,200,0.5,0,0
28291,542.5,0.08936734693877552,False,200,0.5,0,0
9144,351.0,0.06297959183673468,False,200,0.5,0,0
5603,316.0,0.4236122448979592,False,200,0.5,0,0
1600,276.0,0.45,False,200,0.5,0,0
14879,408.5,0.1949183673469388,False,200,0.5,0,0
10461,364.5,0.3532448979591837,False,200,0.5,0,0
22774,487.5,0.23889795918367346,False,200,0.5,0,0
17492,434.5,0.08057142857142857,False,200,0.5,0,0
22535,485.0,0.14214285714285713,False,200,0.5,0,0
2345,283.0,0.05418367346938774,False,200,0.5,0,0
3684,296.5,0.15093877551020407,False,200,0.5,0,0
13721,397.0,0.2652857142857143,False,200,0.5,0,0
14890,408.5,0.09816326530612246,False,200,0.5,0,0
4153,301.5,0.4236122448979592,False,200,0.5,0,0
23915,499.0,0.3180612244897959,False,200,0.5,0,0
14730,407.0,0.18612244897959185,False,200,0.5,0,0
11645,376.0,0.05418367346938774,False,200,0.5,0,0
14936,409.0,0.13334693877551018,False,200,0.5,0,0
23634,496.0,0.15093877551020407,False,200,0.5,0,0
26403,524.0,0.4236122448979592,False,200,0.5,0,0
28456,544.5,0.3972244897959184,False,200,0.5,0,0
2988,289.5,0.11575510204081635,False,200,0.5,0,0
8208,342.0,0.3796326530612245,False,200,0.5,0,0
20141,461.0,0.08936734693877552,False,200,0.5,0,0
3175,291.5,0.23010204081632654,False,200,0.5,0,0
14350,403.5,0.45,False,200,0.5,0,0
3897,298.5,0.03659183673469385,False,200,0.5,0,0
24257,502.5,0.38842857142857146,False,200,0.5,0,0
7091,330.5,0.08936734693877552,False,200,0.5,0,0
3192,291.5,0.08057142857142857,False,200,0.5,0,0
28407,544.0,0.38842857142857146,False,200,0.5,0,0
