,mean_temperature,particle_size,ignition,density,wind_speed,CTANN,heater_lead_angle
452,328.5,0.06854545454545455,False,338,0.5,0,0
3869,471.0,0.09909090909090909,False,338,0.5,0,0
508,331.0,0.10927272727272727,False,338,0.5,0,0
3533,457.0,0.09909090909090909,False,338,0.5,0,0
2916,431.5,0.15,False,338,0.5,0,0
4058,479.0,0.12963636363636363,False,338,0.5,0,0
4585,501.0,0.1398181818181818,False,338,0.5,0,0
3348,449.5,0.15,False,338,0.5,0,0
2520,415.0,0.15,False,338,0.5,0,0
4707,506.0,0.11945454545454545,False,338,0.5,0,0
1649,378.5,0.09909090909090909,False,338,0.5,0,0
1192,359.5,0.10927272727272727,False,338,0.5,0,0
1165,358.5,0.1398181818181818,False,338,0.5,0,0
2067,396.0,0.11945454545454545,False,338,0.5,0,0
5498,539.0,0.12963636363636363,False,338,0.5,0,0
3352,449.5,0.10927272727272727,False,338,0.5,0,0
1734,382.0,0.08890909090909091,False,338,0.5,0,0
1721,381.5,0.09909090909090909,False,338,0.5,0,0
4647,503.5,0.11945454545454545,False,338,0.5,0,0
1383,367.5,0.11945454545454545,False,338,0.5,0,0
638,336.5,0.12963636363636363,False,338,0.5,0,0
202,318.0,0.04818181818181819,False,338,0.5,0,0
1123,356.5,0.07872727272727273,False,338,0.5,0,0
748,341.0,0.10927272727272727,False,338,0.5,0,0
3893,472.0,0.09909090909090909,False,338,0.5,0,0
3075,438.0,0.11945454545454545,False,338,0.5,0,0
1434,369.5,0.08890909090909091,False,338,0.5,0,0
718,339.5,0.04818181818181819,False,338,0.5,0,0
151,316.0,0.07872727272727273,False,338,0.5,0,0
1051,353.5,0.07872727272727273,False,338,0.5,0,0
655,337.0,0.07872727272727273,False,338,0.5,0,0
1421,369.0,0.09909090909090909,False,338,0.5,0,0
3328,448.5,0.10927272727272727,False,338,0.5,0,0
5688,547.0,0.15,False,338,0.5,0,0
4704,506.0,0.15,False,338,0.5,0,0
2236,403.0,0.10927272727272727,False,338,0.5,0,0
4632,503.0,0.15,False,338,0.5,0,0
4347,491.0,0.11945454545454545,False,338,0.5,0,0
2574,417.0,0.08890909090909091,False,338,0.5,0,0
3472,454.5,0.10927272727272727,False,338,0.5,0,0
1544,374.0,0.06854545454545455,False,338,0.5,0,0
297,322.0,0.05836363636363637,False,338,0.5,0,0
4598,501.5,0.12963636363636363,False,338,0.5,0,0
1493,372.0,0.09909090909090909,False,338,0.5,0,0
172,317.0,0.10927272727272727,False,338,0.5,0,0
2225,402.5,0.09909090909090909,False,338,0.5,0,0
1149,357.5,0.05836363636363637,False,338,0.5,0,0
97,314.0,0.1398181818181818,False,338,0.5,0,0
2485,413.5,0.1398181818181818,False,338,0.5,0,0
991,351.0,0.07872727272727273,False,338,0.5,0,0
1971,392.0,0.11945454545454545,False,338,0.5,0,0
3060,437.5,0.15,False,338,0.5,0,0
3711,464.5,0.11945454545454545,False,338,0.5,0,0
1158,358.0,0.08890909090909091,False,338,0.5,0,0
1297,364.0,0.1398181818181818,False,338,0.5,0,0
3281,446.5,0.09909090909090909,False,338,0.5,0,0
1021,352.5,0.1398181818181818,False,338,0.5,0,0
1084,355.0,0.10927272727272727,False,338,0.5,0,0
3148,441.0,0.10927272727272727,False,338,0.5,0,0
2323,406.5,0.07872727272727273,False,338,0.5,0,0
1428,369.5,0.15,False,338,0.5,0,0
403,326.5,0.07872727272727273,False,338,0.5,0,0
4872,513.0,0.15,False,338,0.5,0,0
171,317.0,0.11945454545454545,False,338,0.5,0,0
1759,383.0,0.07872727272727273,False,338,0.5,0,0
1597,376.5,0.1398181818181818,False,338,0.5,0,0
4741,507.5,0.1398181818181818,False,338,0.5,0,0
2305,406.0,0.1398181818181818,False,338,0.5,0,0
939,349.0,0.11945454545454545,False,338,0.5,0,0
762,341.5,0.08890909090909091,False,338,0.5,0,0
1818,385.5,0.08890909090909091,False,338,0.5,0,0
